,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away,salvadas_home,salvadas_away
0,Valencia,Getafe,27%,73%,130 of 201 — 65%,83% — 446 of 537,1 of 3 — 33%,18% — 4 of 22,4 of 4 — 100%,100% — 1 of 1
1,Mallorca,Betis,35%,65%,240 of 324 — 74%,87% — 521 of 601,2 of 6 — 33%,0% — 0 of 9,0 of 0 — %,50% — 1 of 2
2,Cádiz,Levante,43%,57%,248 of 355 — 70%,81% — 376 of 464,2 of 7 — 29%,25% — 3 of 12,2 of 3 — 66%,50% — 1 of 2
3,Alavés,Real Madrid,42%,58%,360 of 439 — 82%,88% — 541 of 618,3 of 10 — 30%,37% — 7 of 19,3 of 7 — 42%,100% — 3 of 3
4,Osasuna,Espanyol,53%,47%,319 of 446 — 72%,68% — 273 of 399,1 of 14 — 7%,30% — 3 of 10,3 of 3 — 100%,100% — 1 of 1
5,Celta Vigo,Atlético Madrid,53%,47%,426 of 526 — 81%,78% — 367 of 469,1 of 9 — 11%,31% — 4 of 13,2 of 4 — 50%,100% — 1 of 1
6,Barcelona,Real Sociedad,62%,38%,516 of 590 — 87%,77% — 280 of 366,8 of 13 — 62%,27% — 3 of 11,1 of 3 — 33%,50% — 4 of 8
7,Sevilla,Rayo Vallecano,74%,26%,722 of 787 — 92%,72% — 197 of 275,7 of 20 — 35%,75% — 3 of 4,3 of 3 — 100%,71% — 5 of 7
8,Villarreal,Granada,61%,39%,425 of 525 — 81%,74% — 250 of 340,3 of 14 — 21%,17% — 1 of 6,1 of 1 — 100%,100% — 3 of 3
9,Elche,Athletic Club,51%,49%,332 of 428 — 78%,75% — 313 of 416,2 of 8 — 25%,33% — 3 of 9,3 of 3 — 100%,100% — 2 of 2
10,Betis,Cádiz,73%,27%,610 of 693 — 88%,59% — 152 of 258,7 of 16 — 44%,29% — 2 of 7,2 of 2 — 100%,85% — 6 of 7
11,Alavés,Mallorca,46%,54%,253 of 349 — 72%,76% — 311 of 407,4 of 9 — 44%,17% — 2 of 12,1 of 2 — 50%,100% — 4 of 4
12,Espanyol,Villarreal,41%,59%,241 of 322 — 75%,85% — 397 of 465,3 of 14 — 21%,17% — 2 of 12,2 of 2 — 100%,100% — 3 of 3
13,Granada,Valencia,47%,53%,191 of 323 — 59%,66% — 240 of 361,2 of 9 — 22%,29% — 5 of 17,5 of 5 — 100%,50% — 1 of 2
14,Athletic Club,Barcelona,33%,67%,219 of 317 — 69%,85% — 545 of 638,6 of 16 — 38%,33% — 3 of 9,2 of 3 — 66%,83% — 5 of 6
15,Real Sociedad,Rayo Vallecano,61%,39%,393 of 480 — 82%,73% — 223 of 304,7 of 12 — 58%,11% — 1 of 9,1 of 1 — 100%,100% — 7 of 7
16,Atlético Madrid,Elche,43%,57%,381 of 459 — 83%,87% — 539 of 618,4 of 8 — 50%,50% — 2 of 4,2 of 2 — 100%,75% — 3 of 4
17,Levante,Real Madrid,39%,61%,304 of 387 — 79%,86% — 521 of 608,4 of 8 — 50%,25% — 5 of 20,2 of 5 — 40%,25% — 1 of 4
18,Getafe,Sevilla,40%,60%,252 of 356 — 71%,82% — 443 of 540,0 of 12 — 0%,33% — 3 of 9,2 of 3 — 66%,% — 0 of 0
19,Osasuna,Celta Vigo,47%,53%,350 of 488 — 72%,75% — 418 of 561,6 of 14 — 43%,0% — 0 of 4,0 of 0 — %,100% — 6 of 6
20,Mallorca,Espanyol,48%,52%,299 of 390 — 77%,79% — 333 of 424,6 of 12 — 50%,38% — 3 of 8,3 of 3 — 100%,83% — 5 of 6
21,Valencia,Alavés,49%,51%,299 of 400 — 75%,74% — 309 of 420,4 of 9 — 44%,22% — 2 of 9,2 of 2 — 100%,25% — 1 of 4
22,Celta Vigo,Athletic Club,62%,38%,428 of 582 — 74%,60% — 213 of 355,0 of 13 — 0%,33% — 2 of 6,1 of 2 — 50%,% — 0 of 0
23,Real Sociedad,Levante,51%,49%,405 of 491 — 82%,80% — 376 of 469,2 of 7 — 29%,0% — 0 of 6,0 of 0 — %,50% — 1 of 2
24,Elche,Sevilla,30%,70%,192 of 297 — 65%,86% — 609 of 705,4 of 7 — 57%,28% — 5 of 18,4 of 5 — 80%,75% — 3 of 4
25,Betis,Real Madrid,50%,50%,450 of 556 — 81%,81% — 442 of 547,6 of 12 — 50%,23% — 3 of 13,2 of 3 — 66%,100% — 6 of 6
26,Barcelona,Getafe,66%,34%,613 of 721 — 85%,73% — 266 of 365,3 of 7 — 43%,38% — 3 of 8,2 of 3 — 66%,33% — 1 of 3
27,Rayo Vallecano,Granada,47%,53%,271 of 386 — 70%,71% — 306 of 430,5 of 18 — 28%,33% — 3 of 9,3 of 3 — 100%,40% — 2 of 5
28,Cádiz,Osasuna,28%,72%,148 of 264 — 56%,79% — 537 of 677,2 of 6 — 33%,17% — 2 of 12,1 of 2 — 50%,50% — 1 of 2
29,Atlético Madrid,Villarreal,49%,51%,394 of 480 — 82%,83% — 412 of 499,3 of 23 — 13%,100% — 2 of 2,0 of 2 — 0%,66% — 2 of 3
30,Levante,Rayo Vallecano,45%,55%,271 of 367 — 74%,80% — 355 of 446,1 of 6 — 17%,27% — 6 of 22,5 of 6 — 83%,100% — 1 of 1
31,Athletic Club,Mallorca,49%,51%,306 of 427 — 72%,75% — 334 of 443,5 of 19 — 26%,14% — 1 of 7,1 of 1 — 100%,60% — 3 of 5
32,Espanyol,Atlético Madrid,42%,58%,320 of 409 — 78%,82% — 468 of 570,3 of 9 — 33%,23% — 3 of 13,1 of 3 — 33%,66% — 2 of 3
33,Osasuna,Valencia,58%,42%,347 of 474 — 73%,65% — 229 of 350,2 of 11 — 18%,40% — 4 of 10,1 of 4 — 25%,50% — 1 of 2
34,Cádiz,Real Sociedad,24%,76%,121 of 215 — 56%,85% — 584 of 687,1 of 6 — 17%,20% — 3 of 15,2 of 3 — 66%,100% — 1 of 1
35,Real Madrid,Celta Vigo,60%,40%,571 of 662 — 86%,80% — 356 of 443,10 of 14 — 71%,36% — 4 of 11,3 of 4 — 75%,60% — 6 of 10
36,Getafe,Elche,56%,44%,456 of 574 — 79%,76% — 343 of 450,1 of 10 — 10%,38% — 3 of 8,2 of 3 — 66%,100% — 1 of 1
37,Granada,Betis,43%,57%,305 of 409 — 75%,81% — 434 of 533,2 of 11 — 18%,47% — 9 of 19,7 of 9 — 77%,50% — 1 of 2
38,Celta Vigo,Cádiz,77%,23%,605 of 755 — 80%,47% — 107 of 230,4 of 14 — 29%,33% — 2 of 6,0 of 2 — 0%,75% — 3 of 4
39,Rayo Vallecano,Getafe,50%,50%,265 of 363 — 73%,63% — 229 of 364,4 of 10 — 40%,17% — 2 of 12,2 of 2 — 100%,50% — 2 of 4
40,Atlético Madrid,Athletic Club,55%,45%,443 of 545 — 81%,76% — 339 of 446,2 of 14 — 14%,0% — 0 of 6,0 of 0 — %,100% — 2 of 2
41,Elche,Levante,54%,46%,402 of 483 — 83%,79% — 327 of 416,2 of 9 — 22%,55% — 6 of 11,5 of 6 — 83%,50% — 1 of 2
42,Alavés,Osasuna,55%,45%,354 of 508 — 70%,65% — 267 of 413,3 of 8 — 38%,33% — 4 of 12,3 of 4 — 75%,100% — 3 of 3
43,Mallorca,Villarreal,35%,65%,216 of 311 — 69%,84% — 489 of 585,1 of 10 — 10%,27% — 3 of 11,3 of 3 — 100%,100% — 1 of 1
44,Real Sociedad,Sevilla,47%,53%,304 of 397 — 77%,79% — 348 of 442,3 of 10 — 30%,36% — 4 of 11,4 of 4 — 100%,100% — 3 of 3
45,Betis,Espanyol,59%,41%,441 of 521 — 85%,75% — 272 of 361,9 of 23 — 39%,36% — 4 of 11,2 of 4 — 50%,88% — 8 of 9
