,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away
0,Almería,Rayo Vallecano,60%,40%,448 of 532 — 84%,76% — 268 of 354,5 of 19 — 26%,25% — 2 of 8
1,Sevilla,Valencia,55%,45%,339 of 474 — 72%,71% — 275 of 385,3 of 9 — 33%,30% — 3 of 10
2,Real Sociedad,Girona,48%,52%,331 of 415 — 80%,81% — 369 of 458,2 of 15 — 13%,17% — 1 of 6
3,Las Palmas,Mallorca,68%,32%,542 of 636 — 85%,67% — 202 of 302,1 of 4 — 25%,20% — 2 of 10
4,Athletic Club,Real Madrid,46%,54%,453 of 552 — 82%,87% — 556 of 639,1 of 7 — 14%,57% — 8 of 14
5,Celta Vigo,Osasuna,53%,47%,414 of 531 — 78%,74% — 344 of 468,0 of 11 — 0%,45% — 5 of 11
6,Villarreal,Betis,63%,37%,511 of 604 — 85%,78% — 273 of 350,5 of 18 — 28%,42% — 5 of 12
7,Getafe,Barcelona,26%,74%,186 of 271 — 69%,89% — 680 of 767,2 of 5 — 40%,21% — 3 of 14
8,Cádiz,Alavés,45%,55%,226 of 337 — 67%,72% — 302 of 417,3 of 12 — 25%,20% — 2 of 10
9,Atlético Madrid,Granada,46%,54%,386 of 479 — 81%,82% — 458 of 561,6 of 14 — 43%,57% — 4 of 7
10,Mallorca,Villarreal,40%,60%,288 of 370 — 78%,88% — 486 of 554,1 of 8 — 13%,20% — 3 of 15
11,Valencia,Las Palmas,39%,61%,317 of 411 — 77%,86% — 549 of 641,3 of 8 — 38%,14% — 1 of 7
12,Real Sociedad,Celta Vigo,53%,47%,341 of 468 — 73%,71% — 300 of 421,2 of 11 — 18%,35% — 6 of 17
13,Almería,Real Madrid,43%,57%,394 of 471 — 84%,88% — 548 of 622,8 of 20 — 40%,36% — 9 of 25
14,Osasuna,Athletic Club,63%,37%,474 of 608 — 78%,69% — 249 of 361,7 of 18 — 39%,25% — 2 of 8
15,Girona,Getafe,63%,37%,472 of 558 — 85%,65% — 209 of 321,6 of 7 — 86%,22% — 2 of 9
16,Barcelona,Cádiz,74%,26%,585 of 659 — 89%,66% — 151 of 229,10 of 24 — 42%,10% — 1 of 10
17,Betis,Atlético Madrid,53%,47%,511 of 598 — 85%,83% — 438 of 526,0 of 14 — 0%,20% — 1 of 5
18,Alavés,Sevilla,34%,66%,194 of 313 — 62%,81% — 500 of 618,7 of 14 — 50%,17% — 2 of 12
19,Granada,Rayo Vallecano,48%,52%,308 of 414 — 74%,75% — 334 of 443,7 of 14 — 50%,53% — 9 of 17
20,Las Palmas,Real Sociedad,52%,48%,396 of 501 — 79%,77% — 359 of 465,5 of 11 — 45%,13% — 1 of 8
21,Celta Vigo,Real Madrid,37%,63%,302 of 394 — 77%,88% — 589 of 672,4 of 13 — 31%,22% — 2 of 9
22,Cádiz,Almería,52%,48%,292 of 394 — 74%,74% — 274 of 368,3 of 11 — 27%,40% — 2 of 5
23,Granada,Mallorca,53%,47%,306 of 399 — 77%,74% — 265 of 358,3 of 9 — 33%,56% — 5 of 9
24,Sevilla,Girona,52%,48%,352 of 477 — 74%,78% — 347 of 445,4 of 21 — 19%,38% — 3 of 8
25,Villarreal,Barcelona,40%,60%,344 of 413 — 83%,89% — 557 of 628,6 of 13 — 46%,52% — 11 of 21
26,Valencia,Osasuna,64%,36%,459 of 573 — 80%,67% — 213 of 317,4 of 16 — 25%,17% — 1 of 6
27,Athletic Club,Betis,48%,52%,349 of 464 — 75%,77% — 389 of 504,4 of 12 — 33%,44% — 4 of 9
28,Getafe,Alavés,47%,53%,226 of 351 — 64%,67% — 270 of 401,3 of 14 — 21%,6% — 1 of 16
29,Rayo Vallecano,Atlético Madrid,56%,44%,405 of 537 — 75%,74% — 307 of 414,3 of 12 — 25%,59% — 10 of 17
30,Cádiz,Villarreal,43%,57%,251 of 347 — 72%,83% — 385 of 466,3 of 17 — 18%,43% — 3 of 7
31,Almería,Celta Vigo,63%,37%,570 of 667 — 85%,77% — 308 of 399,5 of 16 — 31%,50% — 7 of 14
32,Real Sociedad,Granada,61%,39%,478 of 583 — 82%,69% — 255 of 372,6 of 15 — 40%,63% — 5 of 8
33,Real Madrid,Getafe,76%,24%,674 of 782 — 86%,65% — 164 of 253,12 of 26 — 46%,33% — 2 of 6
34,Alavés,Valencia,40%,60%,246 of 357 — 69%,81% — 428 of 531,0 of 6 — 0%,44% — 4 of 9
35,Betis,Rayo Vallecano,55%,45%,428 of 515 — 83%,76% — 319 of 420,5 of 14 — 36%,40% — 6 of 15
36,Girona,Las Palmas,46%,54%,374 of 449 — 83%,84% — 441 of 524,6 of 11 — 55%,50% — 5 of 10
37,Mallorca,Athletic Club,33%,67%,159 of 275 — 58%,78% — 427 of 547,1 of 8 — 13%,27% — 3 of 11
38,Osasuna,Barcelona,31%,69%,223 of 319 — 70%,89% — 618 of 694,3 of 11 — 27%,38% — 3 of 8
39,Rayo Vallecano,Alavés,51%,49%,318 of 436 — 73%,71% — 290 of 411,10 of 19 — 53%,11% — 1 of 9
40,Athletic Club,Cádiz,65%,35%,411 of 546 — 75%,62% — 182 of 295,8 of 20 — 40%,80% — 4 of 5
41,Valencia,Atlético Madrid,37%,63%,276 of 360 — 77%,83% — 496 of 601,8 of 12 — 67%,27% — 3 of 11
42,Celta Vigo,Mallorca,60%,40%,456 of 577 — 79%,76% — 292 of 382,4 of 16 — 25%,43% — 3 of 7
43,Barcelona,Betis,65%,35%,619 of 692 — 89%,81% — 300 of 369,9 of 17 — 53%,18% — 2 of 11
44,Getafe,Osasuna,44%,56%,262 of 398 — 66%,72% — 357 of 498,6 of 11 — 55%,29% — 2 of 7
45,Villarreal,Almería,62%,38%,453 of 545 — 83%,74% — 248 of 333,4 of 10 — 40%,41% — 7 of 17
46,Sevilla,Las Palmas,43%,57%,285 of 404 — 71%,80% — 420 of 526,9 of 26 — 35%,14% — 2 of 14
47,Real Madrid,Real Sociedad,52%,48%,477 of 558 — 85%,86% — 448 of 521,8 of 17 — 47%,33% — 5 of 15
48,Granada,Girona,43%,57%,285 of 370 — 77%,84% — 412 of 492,5 of 12 — 42%,46% — 6 of 13
49,Alavés,Athletic Club,44%,56%,294 of 422 — 70%,78% — 429 of 547,5 of 15 — 33%,27% — 3 of 11
50,Girona,Mallorca,56%,44%,492 of 568 — 87%,82% — 365 of 443,8 of 22 — 36%,29% — 4 of 14
51,Osasuna,Sevilla,44%,56%,222 of 376 — 59%,68% — 323 of 477,2 of 16 — 13%,20% — 3 of 15
52,Barcelona,Celta Vigo,74%,26%,767 of 858 — 89%,72% — 218 of 302,6 of 15 — 40%,54% — 7 of 13
53,Almería,Valencia,61%,39%,500 of 597 — 84%,72% — 278 of 386,10 of 17 — 59%,71% — 5 of 7
54,Real Sociedad,Getafe,61%,39%,420 of 528 — 80%,66% — 223 of 339,5 of 9 — 56%,67% — 6 of 9
55,Rayo Vallecano,Villarreal,42%,58%,276 of 366 — 75%,83% — 422 of 508,6 of 11 — 55%,46% — 6 of 13
56,Las Palmas,Granada,56%,44%,376 of 474 — 79%,66% — 240 of 366,3 of 10 — 30%,50% — 1 of 2
57,Betis,Cádiz,63%,37%,475 of 549 — 87%,72% — 235 of 328,7 of 21 — 33%,20% — 1 of 5
58,Atlético Madrid,Real Madrid,37%,63%,310 of 384 — 81%,89% — 584 of 654,4 of 10 — 40%,25% — 5 of 20
59,Sevilla,Almería,46%,54%,315 of 408 — 77%,80% — 381 of 477,9 of 18 — 50%,0% — 0 of 9
60,Mallorca,Barcelona,31%,69%,164 of 278 — 59%,84% — 524 of 621,5 of 10 — 50%,40% — 4 of 10
61,Athletic Club,Getafe,49%,51%,321 of 434 — 74%,71% — 326 of 456,4 of 8 — 50%,38% — 5 of 13
62,Real Madrid,Las Palmas,48%,52%,534 of 618 — 86%,90% — 615 of 680,9 of 21 — 43%,13% — 2 of 16
63,Villarreal,Girona,53%,47%,434 of 508 — 85%,86% — 379 of 442,2 of 13 — 15%,29% — 5 of 17
64,Cádiz,Rayo Vallecano,52%,48%,326 of 459 — 71%,69% — 297 of 430,2 of 9 — 22%,44% — 4 of 9
65,Valencia,Real Sociedad,38%,62%,282 of 393 — 72%,83% — 535 of 646,2 of 9 — 22%,50% — 1 of 2
66,Celta Vigo,Alavés,46%,54%,333 of 428 — 78%,82% — 409 of 497,0 of 8 — 0%,43% — 9 of 21
67,Granada,Betis,39%,61%,275 of 365 — 75%,82% — 465 of 565,7 of 18 — 39%,23% — 3 of 13
68,Osasuna,Atlético Madrid,55%,45%,447 of 570 — 78%,78% — 366 of 472,2 of 13 — 15%,60% — 3 of 5
69,Barcelona,Sevilla,58%,42%,431 of 519 — 83%,74% — 280 of 378,4 of 18 — 22%,25% — 3 of 12
