,Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante,posesión_home,posesión_away,home_shots,home_shots_on_target,home_shot_accuracy,away_shots,away_shots_on_target,away_shot_accuracy,home_passes,home_completed_passes,home_passing_accuracy,away_passes,away_completed_passes,away_passing_accuracy
0,2022-08-12,1,Vie,Osasuna,Sevilla,2,1,1.5,0.9,0.35,0.65,11.0,4.0,0.36,10.0,3.0,0.3,307.0,225.0,0.73,566.0,480.0,0.85
1,2022-08-13,2,Sáb,Celta Vigo,Espanyol,2,2,0.4,1.1,0.6,0.4,8.0,3.0,0.38,9.0,1.0,0.11,583.0,469.0,0.8,392.0,284.0,0.72
2,2022-08-13,3,Sáb,Valladolid,Villarreal,0,3,1.0,1.5,0.51,0.49,12.0,6.0,0.5,10.0,4.0,0.4,478.0,384.0,0.8,453.0,351.0,0.77
3,2022-08-13,4,Sáb,Barcelona,Rayo Vallecano,0,0,1.9,0.5,0.67,0.33,21.0,5.0,0.24,4.0,2.0,0.5,617.0,526.0,0.85,303.0,208.0,0.69
4,2022-08-14,5,Dom,Cádiz,Real Sociedad,0,1,0.2,1.7,0.41,0.59,7.0,1.0,0.14,15.0,7.0,0.47,343.0,237.0,0.69,502.0,400.0,0.8
5,2022-08-14,6,Dom,Valencia,Girona,1,0,1.6,0.1,0.46,0.54,16.0,1.0,0.06,5.0,1.0,0.2,381.0,297.0,0.78,450.0,364.0,0.81
6,2022-08-14,7,Dom,Almería,Real Madrid,1,2,0.7,2.1,0.33,0.67,10.0,6.0,0.6,29.0,15.0,0.52,344.0,277.0,0.81,707.0,629.0,0.89
7,2022-08-15,8,Lun,Athletic Club,Mallorca,0,0,1.6,0.4,0.64,0.36,23.0,6.0,0.26,6.0,2.0,0.33,536.0,424.0,0.79,303.0,202.0,0.67
8,2022-08-15,9,Lun,Getafe,Atlético Madrid,0,3,0.7,1.2,0.42,0.58,10.0,0.0,0.0,12.0,5.0,0.42,434.0,334.0,0.77,595.0,493.0,0.83
9,2022-08-15,10,Lun,Betis,Elche,3,0,3.1,0.4,0.71,0.29,17.0,8.0,0.47,4.0,1.0,0.25,648.0,559.0,0.86,260.0,176.0,0.68
10,2022-08-19,11,Vie,Espanyol,Rayo Vallecano,0,2,0.8,1.4,0.54,0.46,13.0,1.0,0.08,8.0,3.0,0.38,510.0,411.0,0.81,426.0,343.0,0.81
11,2022-08-19,12,Vie,Sevilla,Valladolid,1,1,2.0,0.5,0.61,0.39,18.0,2.0,0.11,6.0,3.0,0.5,524.0,420.0,0.8,329.0,242.0,0.74
12,2022-08-20,13,Sáb,Osasuna,Cádiz,2,0,2.7,1.0,0.55,0.45,14.0,1.0,0.07,9.0,2.0,0.22,460.0,342.0,0.74,373.0,265.0,0.71
13,2022-08-20,14,Sáb,Mallorca,Betis,1,2,0.6,2.1,0.48,0.52,13.0,7.0,0.54,6.0,1.0,0.17,405.0,309.0,0.76,439.0,350.0,0.8
14,2022-08-20,15,Sáb,Celta Vigo,Real Madrid,1,4,1.4,3.7,0.51,0.49,14.0,1.0,0.07,14.0,5.0,0.36,581.0,501.0,0.86,565.0,492.0,0.87
15,2022-08-21,16,Dom,Athletic Club,Valencia,1,0,1.0,0.7,0.38,0.62,12.0,2.0,0.17,10.0,0.0,0.0,349.0,250.0,0.72,573.0,472.0,0.82
16,2022-08-21,17,Dom,Atlético Madrid,Villarreal,0,2,1.6,1.8,0.51,0.49,13.0,5.0,0.38,19.0,5.0,0.26,527.0,437.0,0.83,511.0,456.0,0.89
17,2022-08-21,18,Dom,Real Sociedad,Barcelona,1,4,0.8,2.1,0.42,0.58,10.0,5.0,0.5,15.0,7.0,0.47,419.0,337.0,0.8,587.0,522.0,0.89
18,2022-08-22,19,Lun,Elche,Almería,1,1,1.0,0.7,0.54,0.46,13.0,3.0,0.23,12.0,7.0,0.58,473.0,378.0,0.8,398.0,315.0,0.79
19,2022-08-22,20,Lun,Girona,Getafe,3,1,1.1,0.6,0.66,0.34,12.0,6.0,0.5,7.0,3.0,0.43,583.0,503.0,0.86,299.0,213.0,0.71
20,2022-08-26,21,Vie,Girona,Celta Vigo,0,1,1.0,1.0,0.53,0.47,11.0,3.0,0.27,11.0,6.0,0.55,560.0,466.0,0.83,491.0,392.0,0.8
21,2022-08-26,22,Vie,Betis,Osasuna,1,0,0.5,1.3,0.55,0.45,7.0,1.0,0.14,12.0,2.0,0.17,504.0,408.0,0.81,418.0,313.0,0.75
22,2022-08-27,23,Sáb,Elche,Real Sociedad,0,1,0.7,1.8,0.45,0.55,12.0,5.0,0.42,8.0,4.0,0.5,416.0,325.0,0.78,503.0,414.0,0.82
23,2022-08-27,24,Sáb,Rayo Vallecano,Mallorca,0,2,0.7,0.8,0.65,0.35,15.0,0.0,0.0,9.0,4.0,0.44,614.0,486.0,0.79,334.0,239.0,0.72
24,2022-08-27,25,Sáb,Almería,Sevilla,2,1,2.3,1.0,0.33,0.67,11.0,5.0,0.45,13.0,5.0,0.38,286.0,195.0,0.68,592.0,507.0,0.86
25,2022-08-28,26,Dom,Getafe,Villarreal,0,0,0.3,1.1,0.36,0.64,8.0,2.0,0.25,11.0,6.0,0.55,300.0,211.0,0.7,527.0,447.0,0.85
26,2022-08-28,27,Dom,Barcelona,Valladolid,4,0,2.6,0.8,0.67,0.33,24.0,9.0,0.38,8.0,2.0,0.25,694.0,602.0,0.87,346.0,252.0,0.73
27,2022-08-28,28,Dom,Espanyol,Real Madrid,1,3,1.3,2.1,0.36,0.64,15.0,4.0,0.27,19.0,6.0,0.32,337.0,253.0,0.75,605.0,530.0,0.88
28,2022-08-29,29,Lun,Cádiz,Athletic Club,0,4,0.4,2.4,0.38,0.62,9.0,3.0,0.33,19.0,7.0,0.37,378.0,283.0,0.75,613.0,524.0,0.85
